file,cost_min,cost_med,cost_max,order_count
bays29.tsp,2134.0,2356.0,2588.0,29
berlin52.tsp,8848.0,9334.0,10298.0,52
gr120.tsp,8471.0,9066.0,9620.0,120
rat195.tsp,2714.0,2830.0,2989.0,195
ulysses16.tsp,7943.0,8818.0,10067.0,16
